ID,nurseID,nobs
22,805,19
11,805,19
24,805,19
14,805,19
26,805,19
21,805,19
27,805,19
17,805,19
16,805,19
16,805,19
23,805,19
23,805,19
13,805,19
12,805,19
18,805,19
19,805,19
20,805,19
255,305,26
37,204,93
39,204,93
35,204,93
33,204,93
42,204,93
36,204,93
44,204,93
38,204,93
38,204,93
31,204,93
31,204,93
43,204,93
43,204,93
32,204,93
32,204,93
30,204,93
40,204,93
45,204,93
34,204,93
29,204,93
41,204,93
49,203,41
56,201,37
58,201,37
55,203,41
55,203,41
54,203,41
52,203,41
57,201,37
47,203,41
51,203,41
46,203,41
53,203,41
48,203,41
50,203,41
15,203,41
67,204,93
67,204,93
77,204,93
73,204,93
73,204,93
76,203,41
59,204,93
69,204,93
61,204,93
63,204,93
70,204,93
75,203,41
72,204,93
71,204,93
64,805,19
74,204,93
60,204,93
78,204,93
68,204,93
62,204,93
79,204,93
65,204,93
66,204,93
91,401,103
91,401,103
92,401,103
92,401,103
111,401,103
85,401,103
132,401,103
88,401,103
83,401,103
89,401,103
94,401,103
90,401,103
90,401,103
95,401,103
95,401,103
86,401,103
80,401,103
82,401,103
84,401,103
93,401,103
87,401,103
2,401,103
131,401,103
81,401,103
100,401,103
97,401,103
109,401,103
110,401,103
103,401,103
96,401,103
104,401,103
104,401,103
99,401,103
99,401,103
130,401,103
130,401,103
102,401,103
102,401,103
25,805,19
105,401,103
106,401,103
101,401,103
107,401,103
108,401,103
129,401,103
112,401,103
113,401,103
128,401,103
134,401,103
118,401,103
122,401,103
122,401,103
115,401,103
115,401,103
121,401,103
121,401,103
116,401,103
116,401,103
126,401,103
133,401,103
119,401,103
114,401,103
135,401,103
123,401,103
127,401,103
124,401,103
125,401,103
117,401,103
120,401,103
146,101,30
139,101,30
145,101,30
136,101,30
149,101,30
151,101,30
138,101,30
148,101,30
144,101,30
142,101,30
143,101,30
150,101,30
140,101,30
141,101,30
137,101,30
147,101,30
162,101,30
158,101,30
153,101,30
155,101,30
154,101,30
157,101,30
163,101,30
152,101,30
156,101,30
165,101,30
5,101,30
161,101,30
164,101,30
159,101,30
168,104,28
168,104,28
172,104,28
172,104,28
178,104,28
170,104,28
167,104,28
176,104,28
176,104,28
173,104,28
173,104,28
171,104,28
171,104,28
169,104,28
174,104,28
175,104,28
28,204,93
190,607,8
190,607,8
182,601,22
181,601,22
188,601,22
194,607,8
