="Difference-in-difference estimates of effects of IMAI training of nurses on odds of proper diagnosis and treatment, Rwanda 2011-2012."
="",="(1)",="",="(2)",=""
="",="dx_agree",="",="tx_agree",=""
="main",="",="",="",=""
="No",="0.00",="(.)",="0.00",="(.)"
="Yes",="0.32",="(0.35)",="-0.29",="(0.42)"
="baseline",="0.00",="(.)",="0.00",="(.)"
="endline",="0.16",="(0.29)",="-0.29",="(0.31)"
="No # baseline",="0.00",="(.)",="0.00",="(.)"
="No # endline",="0.00",="(.)",="0.00",="(.)"
="Yes # baseline",="0.00",="(.)",="0.00",="(.)"
="Yes # endline",="0.08",="(0.48)",="0.64",="(0.57)"
="No",="0.00",="(.)",="0.00",="(.)"
="Yes",="-1.02*",="(0.45)",="-0.42",="(0.43)"
="No # No",="0.00",="(.)",="0.00",="(.)"
="No # Yes",="0.00",="(.)",="0.00",="(.)"
="Yes # No",="0.00",="(.)",="0.00",="(.)"
="Yes # Yes",="0.00",="(.)",="0.00",="(.)"
="baseline # No",="0.00",="(.)",="0.00",="(.)"
="baseline # Yes",="0.00",="(.)",="0.00",="(.)"
="endline # No",="0.00",="(.)",="0.00",="(.)"
="endline # Yes",="1.55**",="(0.60)",="1.08",="(0.62)"
="No # baseline # No",="0.00",="(.)",="0.00",="(.)"
="No # baseline # Yes",="0.00",="(.)",="0.00",="(.)"
="No # endline # No",="0.00",="(.)",="0.00",="(.)"
="No # endline # Yes",="0.00",="(.)",="0.00",="(.)"
="Yes # baseline # No",="0.00",="(.)",="0.00",="(.)"
="Yes # baseline # Yes",="0.00",="(.)",="0.00",="(.)"
="Yes # endline # No",="0.00",="(.)",="0.00",="(.)"
="Yes # endline # Yes",="0.00",="(.)",="0.00",="(.)"
="baseline",="0.00",="(.)",="0.00",="(.)"
="endline",="0.75**",="(0.29)",="0.51",="(0.32)"
="No # baseline",="0.00",="(.)",="0.00",="(.)"
="No # endline",="0.00",="(.)",="0.00",="(.)"
="Yes # baseline",="0.00",="(.)",="0.00",="(.)"
="Yes # endline",="-0.35",="(0.43)",="-0.01",="(0.47)"
="baseline # baseline",="0.00",="(.)",="0.00",="(.)"
="baseline # endline",="0.00",="(.)",="0.00",="(.)"
="endline # baseline",="0.00",="(.)",="0.00",="(.)"
="endline # endline",="0.00",="(.)",="0.00",="(.)"
="No # baseline # baseline",="0.00",="(.)",="0.00",="(.)"
="No # baseline # endline",="0.00",="(.)",="0.00",="(.)"
="No # endline # baseline",="0.00",="(.)",="0.00",="(.)"
="No # endline # endline",="0.00",="(.)",="0.00",="(.)"
="Yes # baseline # baseline",="0.00",="(.)",="0.00",="(.)"
="Yes # baseline # endline",="0.00",="(.)",="0.00",="(.)"
="Yes # endline # baseline",="0.00",="(.)",="0.00",="(.)"
="Yes # endline # endline",="0.00",="(.)",="0.00",="(.)"
="No # baseline",="0.00",="(.)",="0.00",="(.)"
="No # endline",="0.00",="(.)",="0.00",="(.)"
="Yes # baseline",="0.00",="(.)",="0.00",="(.)"
="Yes # endline",="-0.09",="(0.50)",="0.44",="(0.56)"
="No # No # baseline",="0.00",="(.)",="0.00",="(.)"
="No # No # endline",="0.00",="(.)",="0.00",="(.)"
="No # Yes # baseline",="0.00",="(.)",="0.00",="(.)"
="No # Yes # endline",="0.00",="(.)",="0.00",="(.)"
="Yes # No # baseline",="0.00",="(.)",="0.00",="(.)"
="Yes # No # endline",="0.00",="(.)",="0.00",="(.)"
="Yes # Yes # baseline",="0.00",="(.)",="0.00",="(.)"
="Yes # Yes # endline",="0.00",="(.)",="0.00",="(.)"
="baseline # No # baseline",="0.00",="(.)",="0.00",="(.)"
="baseline # No # endline",="0.00",="(.)",="0.00",="(.)"
="baseline # Yes # baseline",="0.00",="(.)",="0.00",="(.)"
="baseline # Yes # endline",="0.00",="(.)",="0.00",="(.)"
="endline # No # baseline",="0.00",="(.)",="0.00",="(.)"
="endline # No # endline",="0.00",="(.)",="0.00",="(.)"
="endline # Yes # baseline",="0.00",="(.)",="0.00",="(.)"
="endline # Yes # endline",="0.00",="(.)",="0.00",="(.)"
="No # baseline # No # baseline",="0.00",="(.)",="0.00",="(.)"
="No # baseline # No # endline",="0.00",="(.)",="0.00",="(.)"
="No # baseline # Yes # baseline",="0.00",="(.)",="0.00",="(.)"
="No # baseline # Yes # endline",="0.00",="(.)",="0.00",="(.)"
="No # endline # No # baseline",="0.00",="(.)",="0.00",="(.)"
="No # endline # No # endline",="0.00",="(.)",="0.00",="(.)"
="No # endline # Yes # baseline",="0.00",="(.)",="0.00",="(.)"
="No # endline # Yes # endline",="0.00",="(.)",="0.00",="(.)"
="Yes # baseline # No # baseline",="0.00",="(.)",="0.00",="(.)"
="Yes # baseline # No # endline",="0.00",="(.)",="0.00",="(.)"
="Yes # baseline # Yes # baseline",="0.00",="(.)",="0.00",="(.)"
="Yes # baseline # Yes # endline",="0.00",="(.)",="0.00",="(.)"
="Yes # endline # No # baseline",="0.00",="(.)",="0.00",="(.)"
="Yes # endline # No # endline",="0.00",="(.)",="0.00",="(.)"
="Yes # endline # Yes # baseline",="0.00",="(.)",="0.00",="(.)"
="Yes # endline # Yes # endline",="0.00",="(.)",="0.00",="(.)"
="Male",="0.00",="(.)",="0.00",="(.)"
