="Difference-in-difference estimates of effects of IMAI training of nurses on odds of proper diagnosis and treatment, Rwanda 2011-2012."
="",="(1)",="",="(2)",="",="(3)",="",="(4)",=""
="",="dx_agree",="",="dx_agree",="",="tx_agree",="",="tx_agree",=""
="main",="",="",="",="",="",="",="",=""
="No",="0.00",="[0.00,0.00]",="0.00",="[0.00,0.00]",="0.00",="[0.00,0.00]",="0.00",="[0.00,0.00]"
="Yes",="-0.16",="[-1.01,0.68]",="-0.52",="[-1.44,0.39]",="-0.41",="[-0.89,0.07]",="-0.63",="[-1.54,0.27]"
="baseline",="0.00",="[0.00,0.00]",="0.00",="[0.00,0.00]",="0.00",="[0.00,0.00]",="0.00",="[0.00,0.00]"
="endline",="0.49*",="[0.05,0.94]",="0.50**",="[0.12,0.87]",="-0.00",="[-0.44,0.44]",="0.18",="[-0.33,0.69]"
="end1Xever=0",="0.00",="[0.00,0.00]",="0.00",="[0.00,0.00]",="0.00",="[0.00,0.00]",="0.00",="[0.00,0.00]"
="end1Xever=1",="0.62",="[-0.35,1.58]",="0.90",="[-0.02,1.82]",="1.16***",="[0.54,1.78]",="1.20*",="[0.14,2.27]"
="Male",="",="",="0.00",="[0.00,0.00]",="",="",="0.00",="[0.00,0.00]"
="Female",="",="",="0.01",="[-0.29,0.31]",="",="",="-0.22",="[-0.47,0.03]"
="pt_age",="",="",="-0.00",="[-0.01,0.01]",="",="",="-0.00",="[-0.02,0.01]"
="exp_opd",="",="",="-0.01",="[-0.03,0.00]",="",="",="0.01",="[-0.02,0.03]"
="A1",="",="",="0.00",="[0.00,0.00]",="",="",="0.00",="[0.00,0.00]"
="A2",="",="",="-0.25",="[-0.62,0.11]",="",="",="-0.27",="[-0.78,0.24]"
="nobs",="",="",="-0.00",="[-0.02,0.02]",="",="",="0.00",="[-0.02,0.02]"
="Cyarubare",="",="",="0.00",="[0.00,0.00]",="",="",="0.00",="[0.00,0.00]"
="Kabarondo",="",="",="-0.58*",="[-1.10,-0.05]",="",="",="-0.30",="[-1.25,0.66]"
="Karama",="",="",="-0.26",="[-0.70,0.18]",="",="",="-0.89*",="[-1.63,-0.15]"
="Ndego",="",="",="0.14",="[-0.66,0.93]",="",="",="-0.88",="[-2.13,0.37]"
="Nyamirama",="",="",="-0.72***",="[-1.10,-0.35]",="",="",="-1.19**",="[-1.92,-0.45]"
="Ruramira",="",="",="-0.97***",="[-1.52,-0.42]",="",="",="-0.78",="[-1.61,0.04]"
="Rutare",="",="",="-1.06***",="[-1.57,-0.56]",="",="",="-1.10*",="[-2.04,-0.16]"
="Rwinkwavu",="",="",="-0.54**",="[-0.86,-0.22]",="",="",="-0.98**",="[-1.73,-0.24]"
="Constant",="-0.38",="[-0.78,0.02]",="0.60*",="[0.01,1.20]",="-0.07",="[-0.41,0.27]",="1.14*",="[0.04,2.25]"
="lnsig2u",="",="",="",="",="",="",="",=""
="Constant",="-5.96",="[-60.10,48.19]",="-13.79",="[-13.79,-13.79]",="-2.27***",="[-3.57,-0.98]",="-5.01",="[-30.94,20.93]"
="Observations",="792",="",="781",="",="775",="",="764",=""
="95% confidence intervals in brackets"
="* p<0.05, ** p<0.01, *** p<0.001"
